serious_assault_result_injury, dang_negli_acts, assault_police, prop_dam_by_fire_expl, POSTCODE, theft_from_motor_veh, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, murder, other_acts_intend_cause_injury, serious_assault_not_result_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_hom_rel_offences, other_fraud_decep_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
0,0,0,0,"5204",1,0,0,0,1506,0,1,0,1,0,0,0,0,0,1,0,0,0,0,"Apr 2019",5,0,0,0,1
0,0,0,0,"5210",1,0,0,0,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",4,0,2,0,1
2,0,2,0,"5211",1,0,0,1,1529,2,3,3,0,0,0,0,2,3,2,1,0,0,2,"Apr 2019",41,2,6,1,8
2,0,0,0,"5016",8,1,1,0,153,0,2,3,20,0,0,0,2,0,2,3,1,0,1,"Apr 2019",73,1,19,0,7
0,0,0,0,"5212",1,0,0,0,1541,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"Apr 2019",6,0,0,0,1
0,0,1,0,"5213",0,0,0,0,1552,0,1,2,0,0,0,0,1,1,0,0,0,0,0,"Apr 2019",9,0,0,0,3
2,0,0,0,"5214",0,0,0,1,1564,4,2,2,1,0,0,1,0,1,0,2,0,0,1,"Apr 2019",25,0,2,0,6
0,0,0,0,"5223",1,0,0,0,1587,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"Apr 2019",9,1,2,0,2
0,0,0,0,"5231",0,0,1,0,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,1,0,0,0
0,0,0,0,"5232",0,0,0,0,1609,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5233",0,0,0,0,1621,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,0,1,0,1
0,0,0,0,"5234",0,0,0,0,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,1,0,0,0
0,0,0,0,"5235",0,0,0,0,1643,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Apr 2019",4,0,2,0,0
1,1,0,0,"5017",2,0,0,0,165,0,2,4,3,0,0,0,5,1,2,0,0,0,0,"Apr 2019",41,1,6,0,13
0,0,0,0,"5236",0,0,0,0,1652,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",3,0,1,0,1
0,0,0,0,"5237",0,0,0,0,1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,1,0,1
0,0,0,0,"5238",1,0,0,0,1669,0,0,1,1,0,0,0,1,0,2,1,0,0,0,"Apr 2019",12,1,3,0,1
0,0,0,0,"5241",0,0,0,0,1683,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"Apr 2019",5,0,0,0,2
