SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"CLAPHAM",0,0,0,0,0,0,"5062",0,0,0,1343,0,0,0,0,0,0,506202,0,1,0,0,0,0,0,0,0,0,"Feb 2020",1,0,0,0,0
"HAWTHORN",0,0,0,0,3,0,"5062",0,0,0,1355,0,1,2,0,0,0,506203,0,0,0,0,0,0,1,0,0,0,"Feb 2020",11,0,3,0,1
"KINGSWOOD",0,1,0,0,1,0,"5062",0,0,0,1368,0,0,4,1,2,0,506204,0,0,0,0,1,0,0,0,0,0,"Feb 2020",17,0,6,0,1
"GLENELG SOUTH",0,0,0,0,1,0,"5045",0,0,0,1379,0,0,1,0,1,0,504504,0,2,0,0,0,0,1,0,0,0,"Feb 2020",7,0,1,0,0
"OAKLANDS PARK",0,3,0,0,10,1,"5046",0,6,0,1391,0,0,4,0,45,1,504601,0,5,0,0,0,7,0,0,0,0,"Feb 2020",110,0,21,0,7
"COLONEL LIGHT GARDENS",0,0,0,0,3,0,"5041",0,0,0,1403,0,0,1,0,0,0,504101,0,0,0,0,1,0,0,0,0,0,"Feb 2020",8,0,1,0,2
"CUMBERLAND PARK",0,0,0,0,6,0,"5041",0,0,0,1415,0,0,0,0,3,0,504102,0,0,0,0,1,0,2,0,1,0,"Feb 2020",18,0,3,0,2
"DAW PARK",0,0,0,0,1,0,"5041",0,0,0,1427,0,0,3,0,0,0,504103,0,1,0,0,0,0,0,0,0,0,"Feb 2020",10,0,2,0,3
"PANORAMA",0,1,0,0,1,0,"5041",0,0,0,1439,0,0,0,1,0,0,504104,0,0,0,0,0,0,1,0,0,0,"Feb 2020",6,0,2,0,0
"WEST CROYDON",0,1,0,0,2,0,"5008",0,0,1,145,0,0,1,0,2,0,500807,0,4,0,0,3,0,1,0,0,0,"Feb 2020",32,1,11,0,5
"WESTBOURNE PARK",0,0,0,0,3,0,"5041",0,0,0,1451,0,0,2,0,0,0,504105,0,0,0,0,0,0,0,0,0,0,"Feb 2020",7,0,1,0,1
"WARRADALE",0,0,0,0,7,0,"5046",0,0,0,1463,0,0,1,0,1,0,504602,0,0,0,0,1,1,0,0,2,0,"Feb 2020",14,0,0,0,1
"DARLINGTON",0,0,1,0,1,0,"5047",0,0,0,1475,0,0,1,0,2,0,504701,0,0,0,0,2,1,0,0,0,0,"Feb 2020",14,0,6,0,0
"SEACOMBE GARDENS",0,0,0,0,3,0,"5047",0,0,0,1487,0,1,2,0,1,0,504702,0,2,0,0,0,0,1,0,0,0,"Feb 2020",18,1,3,0,4
"SEACOMBE HEIGHTS",0,0,0,0,2,0,"5047",0,0,0,1499,0,0,0,0,0,0,504703,0,1,0,0,0,0,0,0,0,0,"Feb 2020",4,0,0,0,1
"STURT",0,0,0,0,4,0,"5047",0,0,0,1511,0,0,2,1,0,0,504704,0,4,0,0,1,0,1,1,2,0,"Feb 2020",21,0,1,0,4
"BRIGHTON",0,0,0,0,3,0,"5048",0,3,0,1523,0,2,1,1,6,0,504801,0,0,0,0,1,0,1,0,0,0,"Feb 2020",27,0,8,0,1
"DOVER GARDENS",0,0,0,1,0,0,"5048",0,0,0,1535,0,2,1,1,0,0,504802,0,0,0,0,0,0,1,0,1,0,"Feb 2020",9,0,1,0,1
"HOVE",0,0,0,0,2,0,"5048",0,0,0,1547,0,0,0,0,2,0,504803,0,0,0,0,0,0,0,0,0,0,"Feb 2020",8,1,2,0,1
"NORTH BRIGHTON",0,0,0,0,2,0,"5048",0,0,0,1559,0,1,0,0,0,0,504804,0,0,0,0,0,0,0,0,0,0,"Feb 2020",7,0,3,0,1
"ALLENBY GARDENS",0,0,0,0,0,0,"5009",0,0,0,157,0,0,0,0,1,0,500901,0,0,0,0,1,0,0,0,0,0,"Feb 2020",4,0,1,0,1
"KESWICK TERMINAL",0,0,0,0,0,0,"5035",0,2,0,1570,0,0,0,0,0,0,503506,0,0,0,0,0,1,0,0,0,0,"Feb 2020",4,0,0,0,1
"GLANDORE",0,0,0,0,9,0,"5037",0,0,0,1582,0,1,2,0,0,0,503701,0,2,0,1,0,0,1,0,0,0,"Feb 2020",26,2,6,0,2
"KURRALTA PARK",0,0,0,0,5,0,"5037",0,0,0,1594,0,0,1,0,3,0,503702,0,3,0,1,0,0,0,0,0,0,"Feb 2020",28,1,10,0,4
"NETLEY",0,0,0,0,0,0,"5037",0,0,0,1605,0,0,0,0,0,0,503703,0,0,0,0,0,0,1,0,0,0,"Feb 2020",6,1,3,0,1
"MITCHELL PARK",0,1,0,0,4,0,"5043",0,0,1,1617,0,0,3,1,2,2,504303,0,1,0,0,1,1,2,0,0,0,"Feb 2020",41,1,13,0,8
"MORPHETTVILLE",0,0,0,0,2,0,"5043",0,0,0,1630,0,0,1,0,0,1,504304,0,3,0,0,1,1,0,0,0,0,"Feb 2020",25,0,10,0,6
"PARK HOLME",0,0,0,0,4,0,"5043",0,0,0,1642,0,0,1,0,0,0,504305,0,4,0,0,1,1,0,0,0,0,"Feb 2020",20,0,5,0,4
"GLENGOWRIE",0,0,0,0,6,0,"5044",0,0,1,1654,0,0,3,1,1,0,504401,0,2,0,0,1,0,0,0,0,0,"Feb 2020",34,3,13,0,3
"SOMERTON PARK",0,1,0,0,2,0,"5044",0,0,0,1666,0,2,0,0,0,0,504402,0,1,0,0,0,3,4,0,0,0,"Feb 2020",23,2,4,0,4
"GLENELG",0,1,0,1,1,0,"5045",0,1,0,1678,0,0,1,5,7,0,504501,0,6,0,0,2,2,0,1,0,0,"Feb 2020",51,0,19,0,4
"BEVERLEY",0,0,0,0,1,0,"5009",0,0,0,169,0,0,0,0,0,0,500902,0,2,0,0,0,1,0,0,1,0,"Feb 2020",11,1,3,0,2
"GLENELG EAST",0,0,0,0,6,0,"5045",0,0,0,1690,0,1,1,1,2,0,504502,0,2,0,0,0,3,1,0,1,0,"Feb 2020",25,1,6,0,0
"GLENELG NORTH",0,0,1,0,5,0,"5045",0,0,0,1702,0,1,0,0,3,0,504503,0,3,0,0,1,0,1,1,0,0,"Feb 2020",24,2,5,0,1
"SOUTH BRIGHTON",0,0,0,0,0,0,"5048",0,0,0,1715,0,1,0,0,0,0,504805,0,3,0,0,0,0,0,0,0,0,"Feb 2020",6,0,2,0,0
"KINGSTON PARK",0,0,1,0,0,0,"5049",0,0,0,1724,0,0,0,1,0,0,504901,0,0,0,0,1,0,0,0,0,0,"Feb 2020",3,0,0,0,0
"MARINO",0,0,0,0,0,0,"5049",0,1,0,1735,0,0,0,0,0,0,504902,0,0,0,0,0,0,0,0,0,0,"Feb 2020",1,0,0,0,0
"SEACLIFF",0,1,0,0,1,0,"5049",0,0,0,1747,0,0,0,0,0,0,504903,0,0,0,1,0,0,0,0,0,0,"Feb 2020",4,0,0,0,1
"SEACLIFF PARK",0,1,0,0,1,0,"5049",0,0,0,1759,0,0,0,0,1,0,504904,0,1,0,0,0,1,0,0,0,0,"Feb 2020",15,9,0,0,1
"SEAVIEW DOWNS",0,0,0,0,2,0,"5049",0,0,0,1771,0,0,0,0,3,0,504905,0,1,0,0,1,1,0,0,0,0,"Feb 2020",16,0,8,0,0
"BELLEVUE HEIGHTS",0,1,0,0,3,0,"5050",0,0,0,1782,0,0,0,0,0,0,505001,0,0,0,0,0,0,0,0,0,0,"Feb 2020",4,0,0,0,0
"EDEN HILLS",0,0,0,0,0,0,"5050",0,0,0,1794,0,2,0,1,1,0,505003,0,0,0,0,2,0,1,0,0,0,"Feb 2020",8,0,1,0,0
"BLACKWOOD",0,0,0,0,5,0,"5051",0,0,0,1806,0,2,0,0,1,0,505101,0,0,0,0,0,1,1,0,0,0,"Feb 2020",20,1,4,0,5
"KILKENNY",0,2,0,0,1,0,"5009",0,2,0,181,0,0,0,1,7,0,500903,0,4,0,0,1,1,1,0,0,0,"Feb 2020",32,1,9,0,2
"COROMANDEL VALLEY",0,0,0,0,0,0,"5051",0,0,0,1816,0,0,0,0,0,0,505102,0,0,0,0,0,1,0,0,0,0,"Feb 2020",1,0,0,0,0
"HAWTHORNDENE",0,0,0,0,2,0,"5051",0,0,0,1836,0,0,0,0,0,0,505103,0,1,0,0,0,0,0,0,0,0,"Feb 2020",3,0,0,0,0
"BELAIR",0,0,0,0,0,0,"5052",0,0,0,1848,0,2,0,0,0,0,505201,0,0,0,0,0,2,1,0,0,0,"Feb 2020",10,0,3,0,2
"GLENALTA",0,0,0,0,0,0,"5052",0,0,0,1859,0,0,0,0,0,0,505202,0,1,0,0,0,0,0,0,0,0,"Feb 2020",3,0,1,0,1
"HYDE PARK",0,0,0,0,1,0,"5061",0,0,0,1871,0,0,2,0,0,0,506101,0,0,0,0,0,2,1,0,0,0,"Feb 2020",6,0,0,0,0
"NEWTON",0,0,0,0,2,0,"5074",0,0,0,1883,0,0,0,0,5,0,507402,0,3,0,0,2,0,1,0,0,0,"Feb 2020",26,3,8,0,2
"DERNANCOURT",0,1,0,0,3,0,"5075",0,0,0,1895,0,0,1,0,1,0,507501,0,2,0,0,0,0,1,0,0,0,"Feb 2020",11,0,2,0,0
"PARADISE",0,0,0,0,4,1,"5075",0,3,0,1907,0,0,4,0,0,1,507502,0,2,0,4,1,0,3,0,0,0,"Feb 2020",33,1,3,0,6
"ATHELSTONE",0,0,0,0,2,0,"5076",0,0,0,1919,0,0,0,0,0,0,507601,0,2,0,0,1,1,2,0,0,0,"Feb 2020",12,0,2,0,2
"OTTOWAY",0,0,0,0,5,0,"5013",0,2,0,193,0,0,1,0,0,0,501302,0,1,0,0,0,0,2,0,0,0,"Feb 2020",13,0,1,0,1
"LOWER MITCHAM",0,0,0,0,0,0,"5062",0,0,0,1931,0,0,1,1,0,0,506205,0,1,0,0,0,0,0,0,0,0,"Feb 2020",3,0,0,0,0
"LYNTON",0,0,0,0,0,0,"5062",0,0,0,1935,0,0,0,0,0,0,506206,0,0,0,0,0,0,0,0,0,0,"Feb 2020",1,0,0,0,1
"ROSE PARK",0,0,0,0,0,0,"5067",0,0,0,1947,0,1,0,0,0,0,506704,0,0,0,0,0,0,1,0,0,0,"Feb 2020",9,1,5,0,1
"KENSINGTON",0,0,0,0,1,0,"5068",0,0,0,1967,0,0,1,0,0,0,506802,0,0,0,0,0,0,0,0,0,0,"Feb 2020",9,0,5,0,2
"KENSINGTON GARDENS",0,0,0,0,0,0,"5068",0,0,0,1978,0,0,1,0,1,0,506803,0,0,0,0,0,0,1,0,0,0,"Feb 2020",6,0,3,0,0
"KENSINGTON PARK",0,0,0,0,1,0,"5068",0,0,0,1990,0,0,0,0,0,0,506804,0,0,0,0,0,0,0,0,1,0,"Feb 2020",5,0,2,0,1
"LEABROOK",0,0,0,0,0,0,"5068",0,0,0,2002,0,0,0,0,0,0,506805,0,0,0,0,0,0,0,0,0,0,"Feb 2020",1,0,1,0,0
"MARRYATVILLE",0,0,0,0,0,0,"5068",0,0,0,2013,0,0,1,0,0,0,506806,0,0,0,0,0,0,2,0,0,0,"Feb 2020",6,0,2,0,1
"ST MORRIS",0,0,0,0,0,0,"5068",0,0,0,2024,0,0,1,0,0,0,506807,0,0,0,0,0,0,1,0,0,0,"Feb 2020",2,0,0,0,0
"TRINITY GARDENS",0,0,0,0,1,0,"5068",0,0,0,2036,0,0,0,0,0,0,506808,0,0,0,0,1,1,0,0,0,0,"Feb 2020",6,0,3,0,0
"COLLEGE PARK",0,0,0,0,0,0,"5069",0,0,0,2045,0,0,0,0,0,0,506901,0,0,0,0,0,1,0,0,0,0,"Feb 2020",2,0,1,0,0
