SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"KINGSWOOD",0,0,0,0,1,1,"5062",0,0,0,1364,0,0,0,0,0,0,506204,0,0,0,0,0,0,0,0,1,0,"Jun 2020",7,0,3,0,1
"GLENELG SOUTH",0,0,0,0,1,0,"5045",0,0,0,1376,0,0,0,0,0,0,504504,0,0,0,0,0,0,0,0,0,0,"Jun 2020",4,0,2,0,1
"OAKLANDS PARK",0,0,0,0,2,0,"5046",0,1,0,1387,0,0,1,1,27,2,504601,0,5,0,0,1,1,0,1,1,0,"Jun 2020",55,0,8,0,4
"COLONEL LIGHT GARDENS",0,0,0,0,0,0,"5041",0,0,0,1399,0,0,0,0,0,0,504101,0,0,0,0,0,0,0,0,0,0,"Jun 2020",1,1,0,0,0
"WEST CROYDON",0,1,0,0,1,1,"5008",0,0,0,141,0,0,0,0,0,0,500807,0,2,0,0,0,0,1,0,0,0,"Jun 2020",13,0,4,0,3
"CUMBERLAND PARK",0,0,0,0,0,0,"5041",0,0,0,1411,0,0,0,0,1,0,504102,0,0,0,0,0,0,0,0,0,0,"Jun 2020",4,0,2,0,1
"DAW PARK",0,0,0,0,4,0,"5041",0,0,0,1423,0,0,1,0,0,0,504103,0,1,0,0,0,0,0,0,0,0,"Jun 2020",7,0,1,0,0
"PANORAMA",0,0,0,0,0,0,"5041",0,0,0,1435,0,0,1,0,0,0,504104,0,0,0,0,0,0,0,0,0,0,"Jun 2020",3,0,1,0,1
"WESTBOURNE PARK",0,0,0,0,0,0,"5041",0,0,0,1447,0,0,0,0,0,0,504105,0,0,0,0,0,2,0,0,0,0,"Jun 2020",3,0,0,0,1
"WARRADALE",0,0,0,0,1,0,"5046",0,0,0,1459,0,0,1,0,2,0,504602,0,2,0,0,0,0,0,0,0,0,"Jun 2020",12,0,4,0,2
"DARLINGTON",0,0,0,0,0,0,"5047",0,1,0,1471,0,0,0,0,1,0,504701,0,1,0,0,0,0,1,0,0,0,"Jun 2020",6,0,2,0,0
"SEACOMBE GARDENS",0,0,0,0,0,0,"5047",0,0,0,1483,0,2,1,0,0,0,504702,0,1,0,0,0,0,1,1,1,0,"Jun 2020",7,0,0,0,0
"SEACOMBE HEIGHTS",0,0,0,0,1,0,"5047",0,0,0,1495,0,0,0,0,0,0,504703,0,0,0,0,0,0,0,0,1,0,"Jun 2020",2,0,0,0,0
"STURT",0,0,0,0,0,0,"5047",0,0,1,1507,0,1,0,0,0,0,504704,0,3,0,0,0,0,0,0,0,0,"Jun 2020",6,0,1,0,0
"BRIGHTON",0,0,0,0,0,0,"5048",0,0,0,1519,0,7,0,0,1,0,504801,0,1,0,0,0,0,0,0,0,0,"Jun 2020",20,1,8,0,2
"ALLENBY GARDENS",0,0,0,0,1,0,"5009",0,0,0,153,0,1,0,0,0,0,500901,0,1,0,0,0,2,1,0,0,0,"Jun 2020",9,0,2,0,1
"DOVER GARDENS",0,0,0,0,2,0,"5048",0,1,0,1531,0,1,0,0,0,0,504802,0,2,0,0,0,0,0,0,0,0,"Jun 2020",11,0,2,0,3
"HOVE",0,0,0,0,0,0,"5048",0,0,0,1543,0,1,0,0,0,0,504803,0,0,0,0,0,1,1,0,0,0,"Jun 2020",4,0,0,0,1
"NORTH BRIGHTON",0,0,0,0,2,0,"5048",0,1,0,1555,0,0,0,0,0,0,504804,0,0,0,0,0,1,0,0,0,0,"Jun 2020",8,1,1,0,2
"KESWICK TERMINAL",0,0,0,0,2,0,"5035",0,0,0,1566,0,4,0,0,0,0,503506,0,0,0,0,1,0,0,0,0,0,"Jun 2020",7,0,0,0,0
"GLANDORE",0,0,0,0,3,0,"5037",0,1,0,1578,0,0,1,0,0,0,503701,0,1,0,0,1,2,0,0,0,0,"Jun 2020",21,2,9,0,1
"KURRALTA PARK",0,0,2,0,1,0,"5037",0,1,0,1590,0,1,1,1,1,0,503702,0,0,0,0,1,0,1,0,0,0,"Jun 2020",17,0,4,0,3
"NETLEY",0,0,0,0,0,0,"5037",0,0,0,1601,0,0,0,0,0,0,503703,0,0,0,0,0,0,0,0,0,0,"Jun 2020",4,0,4,0,0
"MITCHELL PARK",0,1,0,0,4,0,"5043",0,0,0,1613,0,1,1,1,1,0,504303,0,7,0,0,0,0,1,1,0,0,"Jun 2020",31,1,9,0,3
"MORPHETTVILLE",0,1,0,0,2,0,"5043",0,1,0,1626,0,3,0,0,0,0,504304,0,0,0,0,0,0,1,0,0,0,"Jun 2020",10,0,1,0,1
"PARK HOLME",0,0,0,0,1,0,"5043",0,3,1,1638,0,2,1,1,1,0,504305,0,1,0,0,0,0,0,0,0,0,"Jun 2020",14,0,1,0,2
"BEVERLEY",0,1,0,0,0,0,"5009",0,0,0,165,0,0,0,2,0,0,500902,0,1,0,0,0,0,1,1,0,0,"Jun 2020",8,0,1,0,1
"GLENGOWRIE",0,0,0,0,2,0,"5044",0,0,0,1650,0,0,1,1,0,0,504401,0,1,0,0,1,2,0,0,0,0,"Jun 2020",12,0,4,0,0
"SOMERTON PARK",0,0,0,0,2,0,"5044",0,0,0,1662,0,2,0,0,0,0,504402,0,0,0,0,0,1,1,0,0,0,"Jun 2020",11,0,3,0,2
"GLENELG",0,2,0,0,3,2,"5045",0,0,4,1674,0,0,1,1,4,0,504501,0,1,0,0,1,2,1,0,0,0,"Jun 2020",39,0,12,0,5
"GLENELG EAST",0,0,0,0,3,0,"5045",0,0,0,1686,0,1,0,0,0,0,504502,0,0,0,0,0,0,0,0,0,0,"Jun 2020",14,0,5,0,5
"GLENELG NORTH",0,1,1,0,1,0,"5045",0,0,0,1698,0,0,1,1,0,0,504503,0,1,0,0,1,0,0,0,0,0,"Jun 2020",15,1,4,0,3
"GLENELG NORTH",0,0,0,0,1,0,"5045",0,0,0,1704,0,0,0,0,0,0,504503,0,0,0,0,0,0,0,0,0,0,"Jun 2020",1,0,0,0,0
"SOUTH BRIGHTON",0,0,2,0,1,0,"5048",0,2,1,1711,0,6,0,0,0,0,504805,0,0,0,0,0,1,0,1,0,0,"Jun 2020",16,0,1,0,1
"MARINO",0,0,0,0,1,0,"5049",0,0,0,1731,0,0,1,0,0,0,504902,0,0,0,0,0,0,0,0,0,0,"Jun 2020",3,1,0,0,0
"SEACLIFF",0,0,0,0,0,0,"5049",0,0,0,1743,0,0,1,0,0,0,504903,0,0,0,0,0,1,0,0,0,0,"Jun 2020",4,0,1,0,1
"SEACLIFF PARK",0,0,0,0,0,0,"5049",0,0,0,1755,0,0,1,0,0,0,504904,0,1,0,0,0,0,0,0,0,0,"Jun 2020",4,0,1,0,1
"SEAVIEW DOWNS",0,0,0,0,0,0,"5049",0,0,1,1767,0,1,0,0,0,0,504905,0,1,0,0,2,0,0,0,0,0,"Jun 2020",8,0,3,0,0
"KILKENNY",0,0,0,0,1,0,"5009",0,0,0,177,0,0,0,0,4,0,500903,0,1,0,0,1,0,2,0,0,0,"Jun 2020",16,0,3,0,4
"BELLEVUE HEIGHTS",0,0,0,0,0,0,"5050",0,0,0,1779,0,0,0,0,0,0,505001,0,1,0,0,0,0,0,0,0,0,"Jun 2020",1,0,0,0,0
"EDEN HILLS",0,0,0,0,0,1,"5050",0,0,0,1790,0,1,0,0,0,0,505003,0,0,0,0,0,0,0,0,0,0,"Jun 2020",2,0,0,0,0
"BLACKWOOD",0,1,0,0,0,0,"5051",0,0,0,1802,0,0,0,0,1,0,505101,0,0,0,0,0,0,0,0,0,0,"Jun 2020",7,1,2,0,2
"COROMANDEL VALLEY",0,0,0,0,0,0,"5051",0,0,1,1812,0,0,1,0,0,0,505102,0,0,0,0,0,0,0,0,0,0,"Jun 2020",4,0,2,0,0
"CRAIGBURN FARM",0,0,0,0,0,0,"5051",0,0,0,1824,0,0,2,0,0,0,505104,0,0,0,0,0,0,0,0,0,0,"Jun 2020",3,1,0,0,0
"HAWTHORNDENE",0,1,0,0,0,0,"5051",0,0,0,1833,0,0,0,0,0,0,505103,0,0,0,0,0,0,0,0,0,0,"Jun 2020",2,0,1,0,0
"BELAIR",0,0,0,1,0,1,"5052",0,0,0,1844,0,5,1,0,0,0,505201,0,0,0,0,1,0,0,0,0,0,"Jun 2020",9,0,0,0,0
"GLENALTA",0,0,0,0,0,0,"5052",0,0,0,1856,0,0,0,0,0,0,505202,0,1,0,0,2,0,0,0,1,0,"Jun 2020",5,1,0,0,0
"HYDE PARK",0,0,0,0,3,0,"5061",0,0,0,1867,0,0,0,0,0,0,506101,0,0,0,0,0,0,0,0,0,0,"Jun 2020",5,0,0,0,2
"NEWTON",0,0,0,0,0,0,"5074",0,0,0,1879,0,1,0,0,0,0,507402,0,2,0,0,2,1,1,0,0,0,"Jun 2020",13,0,3,0,3
"OTTOWAY",0,1,0,0,1,0,"5013",0,0,0,189,0,0,1,0,0,0,501302,0,0,0,0,0,0,0,0,0,0,"Jun 2020",11,0,4,0,4
"DERNANCOURT",0,0,0,0,0,0,"5075",0,0,0,1891,0,0,0,0,2,1,507501,0,0,0,0,0,0,0,0,0,0,"Jun 2020",6,0,3,0,0
"PARADISE",0,2,0,0,1,0,"5075",0,0,0,1903,0,0,2,0,0,0,507502,0,4,0,0,1,0,0,0,0,0,"Jun 2020",21,0,5,1,5
"ATHELSTONE",0,0,0,0,0,0,"5076",0,0,1,1915,0,0,0,0,0,0,507601,0,3,0,0,0,0,0,0,0,0,"Jun 2020",6,0,1,0,1
"LOWER MITCHAM",0,0,0,0,0,0,"5062",0,0,0,1927,0,0,0,0,0,0,506205,0,0,0,0,0,0,0,0,0,0,"Jun 2020",1,0,0,0,1
"ROSE PARK",0,0,0,0,0,0,"5067",0,0,0,1943,0,0,0,0,0,0,506704,0,1,0,0,0,0,0,0,0,0,"Jun 2020",2,0,0,0,1
"HEATHPOOL",0,0,0,0,0,0,"5068",0,0,0,1953,0,0,0,0,0,0,506801,0,0,0,0,0,0,0,0,0,0,"Jun 2020",2,0,0,0,2
"KENSINGTON",0,1,0,0,0,0,"5068",0,0,0,1963,0,2,1,0,3,0,506802,0,0,0,0,0,0,0,0,0,0,"Jun 2020",9,0,2,0,0
