SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"KINGSWOOD",0,0,0,0,1,0,"5062",0,0,0,1366,0,1,0,1,0,0,506204,0,0,0,0,0,0,0,0,0,0,"Apr 2020",8,0,3,0,2
"GLENELG SOUTH",0,0,0,0,2,0,"5045",0,0,0,1377,0,0,1,0,0,0,504504,0,0,0,0,0,0,1,0,0,0,"Apr 2020",6,0,2,0,0
"OAKLANDS PARK",0,3,0,0,0,0,"5046",0,1,0,1389,0,0,2,1,12,1,504601,0,3,0,0,1,3,0,0,2,0,"Apr 2020",48,2,12,1,4
"COLONEL LIGHT GARDENS",0,0,0,0,2,0,"5041",0,0,0,1401,0,0,0,0,0,0,504101,0,0,0,0,0,2,0,0,0,0,"Apr 2020",5,0,0,0,1
"CUMBERLAND PARK",0,0,0,0,2,1,"5041",0,0,0,1413,0,0,1,0,2,0,504102,0,0,0,0,0,0,0,0,0,0,"Apr 2020",9,0,2,0,1
"DAW PARK",0,0,0,0,1,0,"5041",0,0,0,1425,0,0,0,0,0,0,504103,0,1,0,0,0,0,0,0,0,0,"Apr 2020",5,0,2,0,1
"WEST CROYDON",0,0,0,0,2,0,"5008",0,0,0,143,0,0,3,1,0,0,500807,0,0,0,0,0,0,0,1,0,0,"Apr 2020",12,0,2,0,3
"PANORAMA",0,0,0,0,2,0,"5041",0,0,0,1437,0,0,1,0,0,0,504104,0,0,0,0,0,0,0,0,0,0,"Apr 2020",4,0,1,0,0
"WESTBOURNE PARK",0,0,0,0,0,0,"5041",0,0,0,1449,0,0,0,0,0,0,504105,0,0,0,0,0,1,0,0,0,0,"Apr 2020",3,0,2,0,0
"WARRADALE",0,0,0,0,7,0,"5046",0,0,0,1461,0,3,0,0,0,0,504602,0,0,0,0,1,0,2,0,0,0,"Apr 2020",17,0,3,0,1
"DARLINGTON",0,1,0,0,1,0,"5047",0,0,0,1473,0,0,0,1,2,0,504701,0,0,0,0,0,0,0,0,0,0,"Apr 2020",7,0,2,0,0
"SEACOMBE GARDENS",0,1,0,0,0,0,"5047",0,0,0,1485,0,4,0,0,0,0,504702,0,1,0,0,1,0,0,0,0,0,"Apr 2020",8,0,0,0,1
"SEACOMBE HEIGHTS",0,1,0,0,0,0,"5047",0,0,0,1497,0,0,0,1,0,0,504703,0,0,0,1,0,0,0,0,1,0,"Apr 2020",5,0,1,0,0
"STURT",0,0,0,0,0,0,"5047",0,0,0,1509,0,0,1,2,0,0,504704,0,3,0,0,1,0,0,0,0,0,"Apr 2020",16,0,7,0,2
"BRIGHTON",0,0,0,0,1,0,"5048",0,1,0,1521,0,2,0,0,5,0,504801,0,0,0,0,1,1,0,0,0,0,"Apr 2020",27,2,9,0,5
"DOVER GARDENS",0,0,0,0,0,0,"5048",0,0,0,1533,0,0,0,0,0,0,504802,0,2,0,0,0,0,0,0,0,0,"Apr 2020",4,0,0,0,2
"HOVE",0,0,0,0,2,0,"5048",0,0,0,1545,0,0,1,0,0,0,504803,0,0,0,0,0,1,0,0,0,0,"Apr 2020",8,0,2,0,2
"ALLENBY GARDENS",0,0,0,0,1,0,"5009",0,0,0,155,0,0,0,0,1,0,500901,0,0,0,0,1,0,0,0,0,0,"Apr 2020",4,0,0,0,1
"NORTH BRIGHTON",0,0,0,0,0,0,"5048",0,0,0,1557,0,0,0,1,0,0,504804,0,0,0,0,0,2,0,0,0,0,"Apr 2020",9,0,6,0,0
"KESWICK TERMINAL",0,1,0,0,0,0,"5035",0,0,0,1568,0,4,0,0,0,0,503506,0,0,0,0,0,0,0,0,0,0,"Apr 2020",6,0,1,0,0
"GLANDORE",0,0,0,0,1,0,"5037",0,3,0,1580,0,0,4,1,0,0,503701,0,0,0,0,0,1,0,0,0,0,"Apr 2020",13,0,0,0,3
"KURRALTA PARK",0,0,0,0,1,0,"5037",0,0,0,1592,0,0,1,0,2,0,503702,0,0,0,0,0,0,0,0,0,0,"Apr 2020",9,0,3,0,2
"NETLEY",0,0,0,0,0,1,"5037",0,0,0,1603,0,0,1,0,0,0,503703,0,2,0,0,0,0,0,0,0,0,"Apr 2020",6,0,0,0,2
"MITCHELL PARK",0,0,0,0,2,0,"5043",0,0,1,1615,0,2,0,0,0,0,504303,0,3,0,0,0,1,0,0,0,1,"Apr 2020",21,0,7,0,4
