SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"KINGSWOOD",0,0,0,0,0,0,"5062",0,0,0,1363,0,0,0,1,0,0,506204,0,0,0,0,0,0,0,0,0,0,"Jul 2019",5,0,3,0,1
"GLENELG SOUTH",0,1,0,0,1,0,"5045",0,0,0,1375,0,0,0,0,0,0,504504,0,0,0,0,0,1,0,0,0,0,"Jul 2019",6,0,2,0,1
"OAKLANDS PARK",0,1,0,0,3,0,"5046",0,3,1,1386,0,0,3,6,49,0,504601,0,5,0,0,1,2,4,0,0,0,"Jul 2019",107,1,19,1,8
"COLONEL LIGHT GARDENS",0,0,0,0,0,0,"5041",0,0,0,1398,0,0,1,0,0,0,504101,0,0,0,0,0,0,0,0,0,0,"Jul 2019",4,1,1,0,1
"WEST CROYDON",0,0,0,0,0,0,"5008",0,0,0,140,0,0,0,2,0,0,500807,0,1,0,0,0,0,0,0,0,0,"Jul 2019",19,1,11,1,3
"CUMBERLAND PARK",0,0,0,1,0,0,"5041",0,0,1,1410,0,0,0,1,1,0,504102,0,0,0,0,0,1,0,0,0,0,"Jul 2019",8,0,1,0,2
"DAW PARK",0,0,0,0,0,0,"5041",0,0,0,1422,0,0,1,0,0,0,504103,0,0,0,0,0,0,0,0,0,0,"Jul 2019",3,1,1,0,0
"PANORAMA",0,0,0,0,1,0,"5041",0,0,0,1434,0,0,0,0,0,0,504104,0,0,0,0,0,0,0,0,0,0,"Jul 2019",1,0,0,0,0
"WESTBOURNE PARK",0,0,0,0,0,0,"5041",0,1,0,1446,0,1,1,0,0,0,504105,0,0,0,0,0,0,0,0,0,0,"Jul 2019",12,0,1,0,8
"WARRADALE",0,0,0,0,3,0,"5046",0,1,0,1458,0,0,3,0,0,0,504602,0,1,0,0,0,1,1,0,0,0,"Jul 2019",16,1,2,0,3
"DARLINGTON",0,0,0,0,0,1,"5047",0,0,1,1470,0,0,1,1,1,0,504701,0,0,0,0,0,0,1,0,1,0,"Jul 2019",11,0,3,0,1
"SEACOMBE GARDENS",0,1,0,0,3,0,"5047",0,0,0,1482,0,0,5,2,0,0,504702,0,3,0,0,0,1,2,1,1,0,"Jul 2019",29,0,4,0,6
"SEACOMBE HEIGHTS",0,0,0,0,0,0,"5047",0,0,0,1494,0,0,1,0,0,0,504703,0,1,0,0,0,1,0,0,0,0,"Jul 2019",5,0,0,0,2
"STURT",0,0,0,0,1,0,"5047",0,0,0,1506,0,0,1,0,0,0,504704,0,3,0,0,0,0,0,0,0,0,"Jul 2019",14,3,3,0,3
"BRIGHTON",0,0,0,0,2,0,"5048",0,0,1,1518,0,0,1,0,1,1,504801,0,0,0,0,0,0,0,0,1,0,"Jul 2019",16,0,3,0,6
"ALLENBY GARDENS",0,0,0,0,0,0,"5009",0,0,0,152,0,0,1,0,0,0,500901,0,0,0,0,0,0,0,0,0,0,"Jul 2019",5,0,2,0,2
"DOVER GARDENS",0,0,0,0,0,0,"5048",0,0,0,1530,0,2,0,1,0,0,504802,0,1,0,1,0,0,0,0,0,0,"Jul 2019",10,0,2,0,3
"HOVE",0,0,0,0,0,0,"5048",0,0,0,1542,0,0,0,0,0,0,504803,0,0,0,0,0,1,0,0,1,0,"Jul 2019",9,3,4,0,0
"NORTH BRIGHTON",0,0,0,0,0,0,"5048",0,0,0,1554,0,0,0,1,0,0,504804,0,1,0,0,0,1,0,0,0,0,"Jul 2019",4,1,0,0,0
"KESWICK TERMINAL",0,0,0,0,0,0,"5035",0,0,0,1565,0,3,0,0,0,0,503506,0,0,0,0,1,0,0,0,0,0,"Jul 2019",5,1,0,0,0
"GLANDORE",0,0,0,0,1,0,"5037",0,0,0,1577,0,0,2,3,0,0,503701,0,0,0,0,1,0,0,1,0,0,"Jul 2019",19,1,4,0,6
"KURRALTA PARK",0,1,0,0,6,0,"5037",0,0,0,1589,0,0,3,0,3,0,503702,0,0,0,0,0,0,1,0,0,0,"Jul 2019",29,1,10,0,4
"MITCHELL PARK",0,1,0,0,6,0,"5043",0,0,0,1612,0,1,5,2,0,0,504303,0,9,0,0,0,1,2,1,0,0,"Jul 2019",45,1,11,0,5
"MORPHETTVILLE",0,0,0,0,0,0,"5043",0,0,0,1625,0,0,0,0,1,0,504304,0,2,0,0,1,0,0,0,0,0,"Jul 2019",8,0,3,0,1
"PARK HOLME",0,2,0,0,0,0,"5043",0,0,0,1637,0,0,2,0,1,0,504305,0,3,0,1,1,0,1,0,0,0,"Jul 2019",21,1,6,0,3
"BEVERLEY",0,0,0,0,3,0,"5009",0,0,0,164,0,1,1,1,0,0,500902,0,0,0,0,0,2,1,0,0,0,"Jul 2019",13,1,1,0,2
"GLENGOWRIE",0,0,0,1,1,0,"5044",0,0,0,1649,0,0,1,0,0,0,504401,0,1,0,0,0,0,0,0,2,0,"Jul 2019",14,0,8,0,0
"SOMERTON PARK",0,0,0,1,2,0,"5044",0,0,0,1661,0,0,1,0,0,0,504402,0,1,0,0,0,0,1,0,0,0,"Jul 2019",12,0,4,0,2
"GLENELG",0,0,0,0,3,0,"5045",0,0,0,1673,0,0,2,4,8,0,504501,0,0,0,0,0,1,0,0,1,0,"Jul 2019",28,3,4,0,2
"GLENELG EAST",0,0,0,0,2,0,"5045",0,0,0,1685,0,0,0,0,0,0,504502,0,0,0,0,0,3,2,0,0,0,"Jul 2019",28,1,12,0,8
"GLENELG NORTH",0,0,0,0,5,0,"5045",0,0,0,1697,0,2,1,0,0,0,504503,0,0,0,0,1,1,0,0,0,0,"Jul 2019",21,1,5,0,5
"SOUTH BRIGHTON",0,0,0,0,1,0,"5048",0,0,0,1710,0,1,0,0,0,0,504805,0,1,0,0,0,0,0,0,0,0,"Jul 2019",5,0,1,0,1
"MARINO",0,0,0,0,1,0,"5049",0,0,0,1730,0,0,0,0,0,0,504902,0,1,0,0,1,1,0,0,0,0,"Jul 2019",7,0,3,0,0
"SEACLIFF",0,0,0,1,0,0,"5049",0,1,0,1742,0,0,0,0,0,0,504903,0,0,0,0,0,0,0,0,0,0,"Jul 2019",4,0,1,0,1
"SEACLIFF PARK",0,0,0,0,0,0,"5049",0,0,0,1754,0,0,0,0,1,0,504904,0,1,0,0,0,1,1,0,0,0,"Jul 2019",8,1,2,0,1
"KILKENNY",0,0,0,0,1,0,"5009",0,0,0,176,0,0,0,1,5,1,500903,0,4,0,0,0,4,2,0,0,0,"Jul 2019",36,1,7,0,10
"SEAVIEW DOWNS",0,1,0,0,0,0,"5049",0,0,0,1766,0,0,0,0,13,0,504905,0,0,0,0,0,0,0,0,0,0,"Jul 2019",21,1,4,0,2
"BELLEVUE HEIGHTS",0,0,0,0,0,0,"5050",0,0,0,1778,0,1,1,0,0,0,505001,0,0,0,0,0,0,0,0,1,0,"Jul 2019",3,0,0,0,0
"EDEN HILLS",0,0,0,0,0,0,"5050",0,0,0,1789,0,1,0,0,0,0,505003,0,0,0,0,0,0,0,0,0,0,"Jul 2019",4,0,0,0,3
"BLACKWOOD",0,0,0,0,0,0,"5051",0,1,0,1801,0,2,2,1,1,0,505101,0,0,0,0,0,0,0,0,0,0,"Jul 2019",16,2,4,0,3
"CRAIGBURN FARM",0,0,0,0,0,0,"5051",0,0,0,1823,0,0,0,1,0,0,505104,0,0,0,0,0,0,0,0,0,0,"Jul 2019",2,0,1,0,0
"HAWTHORNDENE",0,0,0,0,0,0,"5051",0,0,0,1832,0,0,0,0,0,0,505103,0,0,0,0,0,0,0,0,0,0,"Jul 2019",1,0,1,0,0
"BELAIR",0,0,0,0,0,0,"5052",0,0,0,1843,0,3,0,0,0,0,505201,0,0,0,0,0,0,0,0,0,0,"Jul 2019",6,0,2,0,1
"GLENALTA",0,0,0,0,1,0,"5052",0,0,0,1855,0,0,0,0,0,0,505202,0,0,0,0,0,0,0,0,0,0,"Jul 2019",1,0,0,0,0
"HYDE PARK",0,0,0,0,0,0,"5061",0,1,0,1866,0,0,0,0,1,0,506101,0,1,0,0,0,0,0,0,0,0,"Jul 2019",3,0,0,0,0
"NEWTON",0,0,0,0,0,1,"5074",0,0,1,1878,0,0,0,1,5,0,507402,0,0,0,0,0,1,0,1,0,0,"Jul 2019",27,0,15,0,2
"OTTOWAY",0,1,0,0,2,0,"5013",0,2,0,188,0,0,2,1,0,1,501302,0,1,0,0,0,0,0,0,0,0,"Jul 2019",28,0,15,0,3
"DERNANCOURT",0,0,0,0,3,0,"5075",0,0,0,1890,0,0,1,0,1,0,507501,0,0,0,0,0,1,0,0,0,0,"Jul 2019",16,1,5,0,4
"ADELAIDE",0,21,7,1,30,0,"5000",1,21,2,19,0,8,7,58,94,11,500001,0,17,0,4,21,15,24,2,9,0,"Jul 2019",604,11,170,2,68
"PARADISE",0,1,0,0,2,0,"5075",0,0,0,1902,0,0,0,1,0,0,507502,0,2,0,0,0,1,1,1,0,0,"Jul 2019",19,0,4,0,6
"ATHELSTONE",0,0,0,0,0,0,"5076",0,0,0,1914,0,0,0,1,0,0,507601,0,0,0,0,0,0,0,0,1,0,"Jul 2019",14,1,6,0,5
"LOWER MITCHAM",0,0,0,1,1,0,"5062",0,0,0,1926,0,0,0,0,0,0,506205,0,0,0,0,0,0,0,0,0,0,"Jul 2019",2,0,0,0,0
"LYNTON",0,0,0,0,0,0,"5062",0,0,0,1933,0,1,0,0,0,0,506206,0,0,0,0,0,0,0,0,0,0,"Jul 2019",1,0,0,0,0
"ROSE PARK",0,0,0,0,0,0,"5067",0,0,0,1942,0,0,0,0,1,0,506704,0,0,0,0,0,0,0,0,0,0,"Jul 2019",3,0,2,0,0
"KENSINGTON",0,1,0,0,2,0,"5068",0,2,0,1962,0,1,1,0,0,0,506802,0,0,0,0,0,0,0,0,0,0,"Jul 2019",12,0,3,0,2
"KENSINGTON GARDENS",0,0,0,0,2,0,"5068",0,0,0,1973,0,0,1,0,1,0,506803,0,0,0,0,0,0,1,0,0,0,"Jul 2019",6,0,1,0,0
"KENSINGTON PARK",0,0,0,0,2,0,"5068",0,0,0,1985,0,0,2,0,0,0,506804,0,1,0,0,0,1,0,0,0,0,"Jul 2019",13,2,3,0,2
"LEABROOK",0,0,0,0,0,0,"5068",0,0,0,1997,0,0,2,0,0,0,506805,0,0,0,0,0,0,0,0,0,0,"Jul 2019",3,0,1,0,0
"PENNINGTON",0,1,0,0,6,0,"5013",0,1,2,200,0,2,4,0,0,0,501303,0,1,0,0,0,0,2,0,0,0,"Jul 2019",26,0,4,0,3
"MARRYATVILLE",0,0,0,0,1,0,"5068",0,0,0,2008,0,0,0,1,0,0,506806,0,0,0,0,0,1,0,0,0,0,"Jul 2019",6,0,1,0,2
"ST MORRIS",0,1,0,0,1,0,"5068",0,0,0,2020,0,0,0,0,0,0,506807,0,1,0,0,0,0,0,0,0,0,"Jul 2019",3,0,0,0,0
"TRINITY GARDENS",0,0,0,0,0,0,"5068",0,0,0,2031,0,0,0,0,1,0,506808,0,0,0,0,0,0,0,0,0,0,"Jul 2019",2,0,1,0,0
"COLLEGE PARK",0,0,0,0,2,0,"5069",0,0,0,2041,0,0,0,0,0,0,506901,0,1,0,0,0,0,0,0,0,0,"Jul 2019",4,0,0,0,1
"JOSLIN",0,0,0,0,2,0,"5070",0,0,0,2051,0,0,2,0,0,0,507004,0,1,0,0,0,0,0,0,0,0,"Jul 2019",6,0,1,0,0
"MARDEN",0,0,0,1,3,0,"5070",0,0,0,2061,0,0,1,2,4,0,507005,0,1,0,0,0,0,0,5,0,0,"Jul 2019",23,1,2,0,3
"PAYNEHAM",0,0,0,0,2,0,"5070",0,0,0,2073,0,0,0,0,0,0,507006,0,0,0,0,0,0,0,0,0,0,"Jul 2019",2,0,0,0,0
"PAYNEHAM SOUTH",0,0,0,0,1,0,"5070",0,0,0,2085,0,0,0,0,0,0,507007,0,0,0,0,0,0,0,0,0,0,"Jul 2019",3,0,1,0,1
"ROYSTON PARK",0,0,0,0,0,1,"5070",0,0,0,2096,0,0,1,0,0,0,507008,0,0,0,0,0,0,0,0,0,0,"Jul 2019",5,0,1,0,2
"MAGILL",0,1,0,1,7,0,"5072",0,0,0,2114,0,0,0,3,0,0,507202,0,0,0,0,0,1,1,0,0,0,"Jul 2019",21,0,6,0,1
"ROSEWATER",0,0,0,0,4,0,"5013",0,1,0,212,0,0,2,1,3,0,501304,0,1,0,0,0,3,1,0,1,0,"Jul 2019",33,1,13,0,2
