SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"CLAPHAM",0,0,0,0,1,0,"5062",0,0,0,1338,0,0,0,2,0,0,506202,0,0,0,0,0,0,0,0,0,0,"Aug 2019",4,0,0,0,1
"HAWTHORN",0,0,0,0,0,0,"5062",0,0,0,1349,0,1,2,0,0,0,506203,0,0,0,0,1,0,1,0,0,0,"Aug 2019",7,0,1,0,1
"KINGSWOOD",0,0,0,0,2,0,"5062",0,0,0,1362,0,0,0,0,0,0,506204,0,0,0,0,0,0,0,0,0,0,"Aug 2019",13,0,10,0,1
"GLENELG SOUTH",0,0,0,0,0,0,"5045",0,0,0,1374,0,0,0,0,0,0,504504,0,1,0,0,0,0,0,0,0,0,"Aug 2019",3,0,0,0,2
"OAKLANDS PARK",0,1,0,0,10,1,"5046",0,4,0,1385,0,2,2,15,80,0,504601,0,3,0,0,0,2,4,1,0,0,"Aug 2019",148,1,15,0,7
"WEST CROYDON",0,0,0,0,0,0,"5008",0,0,0,139,0,0,3,1,0,0,500807,0,2,0,0,0,0,0,0,0,0,"Aug 2019",13,1,4,0,2
"COLONEL LIGHT GARDENS",0,1,0,0,0,0,"5041",0,0,0,1397,0,0,1,1,0,0,504101,0,1,0,0,1,0,0,0,1,0,"Aug 2019",10,1,1,0,2
"CUMBERLAND PARK",0,0,0,0,2,0,"5041",0,0,0,1409,0,0,1,1,1,0,504102,0,1,0,0,0,0,0,0,0,0,"Aug 2019",10,0,2,0,2
"DAW PARK",0,1,0,0,1,0,"5041",0,0,0,1421,0,0,0,1,0,0,504103,0,0,0,0,0,0,0,0,0,0,"Aug 2019",7,0,3,0,1
"PANORAMA",0,0,0,0,0,0,"5041",0,0,0,1433,0,0,1,0,0,0,504104,0,0,0,0,0,0,1,0,0,0,"Aug 2019",5,0,2,0,1
"WESTBOURNE PARK",0,0,0,0,0,0,"5041",0,0,0,1445,0,1,0,1,0,0,504105,0,0,0,0,0,2,0,0,0,0,"Aug 2019",8,0,3,0,1
"WARRADALE",0,0,0,0,4,0,"5046",0,0,0,1457,0,0,2,0,1,0,504602,0,2,0,1,0,0,0,1,0,0,"Aug 2019",22,0,10,0,1
"DARLINGTON",0,0,1,0,0,0,"5047",0,0,0,1469,0,1,2,1,0,0,504701,0,1,0,0,1,1,3,0,0,0,"Aug 2019",16,0,4,0,1
"SEACOMBE GARDENS",0,0,0,1,4,0,"5047",0,0,0,1481,0,0,2,0,0,0,504702,0,0,0,0,1,1,1,1,0,0,"Aug 2019",27,3,4,0,9
"SEACOMBE HEIGHTS",0,0,0,0,3,0,"5047",0,0,0,1493,0,0,2,1,0,0,504703,0,0,0,0,0,2,0,0,0,0,"Aug 2019",12,1,1,0,2
"STURT",0,0,0,0,0,1,"5047",0,0,0,1505,0,0,0,0,0,0,504704,0,0,0,0,0,0,2,0,0,0,"Aug 2019",5,0,2,0,0
"ALLENBY GARDENS",0,0,0,0,1,0,"5009",0,0,0,151,0,0,0,0,1,0,500901,0,0,0,0,0,0,1,0,0,0,"Aug 2019",6,0,0,0,3
"BRIGHTON",0,0,0,1,4,0,"5048",0,1,0,1517,0,0,1,1,4,2,504801,0,1,0,0,0,0,0,0,0,0,"Aug 2019",28,1,8,0,4
"DOVER GARDENS",0,0,0,0,9,0,"5048",0,1,0,1529,0,1,2,0,0,0,504802,0,1,0,1,1,0,3,0,0,0,"Aug 2019",31,3,3,0,6
"HOVE",0,1,0,0,2,0,"5048",0,0,0,1541,0,0,1,0,0,0,504803,0,0,0,0,0,0,0,0,0,0,"Aug 2019",4,0,0,0,0
"NORTH BRIGHTON",0,0,0,0,2,0,"5048",0,0,0,1553,0,0,0,1,0,0,504804,0,0,0,0,0,0,0,0,0,0,"Aug 2019",8,0,3,0,2
"KESWICK TERMINAL",0,0,0,0,0,0,"5035",0,0,0,1564,0,0,0,0,0,0,503506,0,0,0,0,0,1,0,0,0,0,"Aug 2019",2,0,1,0,0
"GLANDORE",0,0,0,0,5,0,"5037",0,0,0,1576,0,1,1,0,0,0,503701,0,0,0,0,0,0,1,0,0,0,"Aug 2019",13,0,3,0,2
"KURRALTA PARK",0,1,0,0,4,0,"5037",0,0,0,1588,0,0,0,0,1,0,503702,0,2,0,0,0,0,2,1,0,0,"Aug 2019",29,1,13,0,4
"NETLEY",0,0,0,0,0,0,"5037",0,0,0,1600,0,0,0,0,0,0,503703,0,1,0,0,0,0,0,0,0,0,"Aug 2019",2,0,1,0,0
"MITCHELL PARK",0,1,0,0,3,0,"5043",0,0,1,1611,0,0,2,2,4,0,504303,0,1,0,0,1,0,0,0,0,0,"Aug 2019",26,0,7,0,4
"MORPHETTVILLE",0,1,0,0,0,0,"5043",0,0,0,1624,0,0,3,0,1,0,504304,0,0,0,0,1,2,2,0,0,0,"Aug 2019",18,0,2,0,6
"BEVERLEY",0,0,0,0,1,0,"5009",0,0,0,163,0,0,1,0,1,0,500902,0,1,0,0,0,1,0,0,0,0,"Aug 2019",7,0,2,0,0
"PARK HOLME",0,1,0,0,3,0,"5043",0,0,0,1636,0,0,4,0,2,0,504305,0,0,0,0,0,0,0,1,0,0,"Aug 2019",18,0,6,0,1
"GLENGOWRIE",0,1,0,0,4,1,"5044",0,0,0,1648,0,0,2,0,0,0,504401,0,1,0,0,0,0,2,0,1,0,"Aug 2019",21,0,5,0,4
"SOMERTON PARK",0,0,0,0,0,0,"5044",0,0,0,1660,0,0,2,0,1,0,504402,0,1,0,0,0,0,0,1,0,0,"Aug 2019",16,0,10,0,1
