SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"HAWTHORN",0,0,0,0,0,0,"5062",0,0,0,1352,0,0,1,0,0,0,506203,0,0,0,0,0,1,0,0,0,0,"May 2020",2,0,0,0,0
"KINGSWOOD",0,0,0,0,0,0,"5062",0,0,0,1365,0,0,0,0,0,0,506204,0,0,0,0,0,0,0,0,0,0,"May 2020",5,0,4,0,1
"OAKLANDS PARK",0,1,0,0,1,1,"5046",0,3,0,1388,0,0,3,1,19,0,504601,0,8,0,0,3,1,0,0,1,0,"May 2020",56,0,8,1,5
"COLONEL LIGHT GARDENS",0,0,0,0,1,0,"5041",0,0,0,1400,0,0,0,0,0,0,504101,0,0,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,1
"CUMBERLAND PARK",0,0,0,0,0,0,"5041",1,0,0,1412,0,0,0,0,1,0,504102,0,1,0,0,0,1,0,0,0,0,"May 2020",4,0,0,0,0
"WEST CROYDON",0,0,0,0,0,1,"5008",0,0,0,142,0,0,1,0,0,0,500807,0,0,0,0,0,0,1,0,0,0,"May 2020",6,0,0,0,3
"DAW PARK",0,0,0,0,0,0,"5041",0,0,0,1424,0,0,0,0,0,0,504103,0,1,0,0,0,0,0,0,0,0,"May 2020",5,0,1,0,3
"PANORAMA",0,0,0,0,0,0,"5041",0,0,0,1436,0,1,0,0,0,0,504104,0,0,0,0,0,0,1,0,0,0,"May 2020",4,0,1,0,1
"WESTBOURNE PARK",0,0,0,0,0,0,"5041",0,0,0,1448,0,0,1,0,0,0,504105,0,0,0,0,0,0,0,0,0,0,"May 2020",3,0,2,0,0
"WARRADALE",0,0,0,0,1,0,"5046",0,0,0,1460,0,0,0,0,0,0,504602,0,0,0,1,0,0,0,0,0,0,"May 2020",4,0,0,0,2
"DARLINGTON",0,0,0,0,0,0,"5047",0,0,0,1472,0,0,0,0,1,0,504701,0,5,0,0,0,0,0,1,0,0,"May 2020",11,0,1,0,3
"SEACOMBE GARDENS",0,0,1,0,0,0,"5047",0,0,0,1484,0,0,0,0,0,0,504702,0,0,0,0,0,1,0,0,0,0,"May 2020",3,0,1,0,0
"SEACOMBE HEIGHTS",0,0,0,0,0,0,"5047",0,0,0,1496,0,0,0,0,0,0,504703,0,0,0,0,0,0,0,0,0,0,"May 2020",4,0,2,0,2
"STURT",0,0,0,0,2,0,"5047",0,0,1,1508,0,0,0,1,0,0,504704,0,1,0,0,0,1,0,0,1,0,"May 2020",13,0,2,0,4
"BRIGHTON",0,0,0,0,0,0,"5048",0,0,0,1520,0,0,0,0,2,0,504801,0,1,0,0,0,2,0,0,1,0,"May 2020",20,1,9,0,4
"DOVER GARDENS",0,0,0,0,1,0,"5048",0,1,0,1532,0,0,1,0,0,0,504802,0,0,0,0,0,0,0,0,0,0,"May 2020",5,0,0,0,2
"ALLENBY GARDENS",0,0,0,0,0,0,"5009",0,0,0,154,0,0,0,0,1,0,500901,0,0,0,0,0,0,0,0,0,0,"May 2020",4,0,3,0,0
"HOVE",0,0,0,0,0,1,"5048",0,0,0,1544,0,1,0,0,0,0,504803,0,0,0,0,0,0,0,0,0,0,"May 2020",5,0,2,0,1
"NORTH BRIGHTON",0,0,0,0,1,0,"5048",0,0,0,1556,0,0,0,0,0,0,504804,0,0,0,0,0,0,0,0,0,0,"May 2020",1,0,0,0,0
"KESWICK TERMINAL",0,0,0,0,0,0,"5035",0,0,0,1567,0,2,0,0,0,0,503506,0,0,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,0
"GLANDORE",0,0,0,0,0,0,"5037",0,0,0,1579,0,1,1,0,0,0,503701,0,0,0,0,0,1,0,0,0,0,"May 2020",6,0,2,0,1
"KURRALTA PARK",0,0,0,0,0,0,"5037",0,0,0,1591,0,1,0,1,0,0,503702,0,0,0,0,0,0,0,0,0,0,"May 2020",7,0,3,0,2
"NETLEY",0,0,1,0,0,0,"5037",0,0,0,1602,0,0,0,0,0,0,503703,0,2,0,0,1,0,0,0,0,0,"May 2020",8,0,0,0,4
"MITCHELL PARK",0,2,0,0,2,1,"5043",0,1,0,1614,0,2,3,0,2,0,504303,0,2,0,0,1,0,0,0,0,0,"May 2020",29,0,4,0,9
"MORPHETTVILLE",0,0,0,0,1,0,"5043",0,0,0,1627,0,0,4,0,0,1,504304,0,2,0,0,0,1,1,0,0,0,"May 2020",17,0,3,0,4
"PARK HOLME",0,0,0,0,1,0,"5043",0,0,0,1639,0,1,0,0,0,0,504305,0,1,0,0,0,0,1,1,0,0,"May 2020",9,0,2,0,2
"GLENGOWRIE",0,0,0,0,0,0,"5044",0,0,0,1651,0,0,0,0,0,0,504401,0,0,0,0,0,0,1,0,0,0,"May 2020",7,0,3,0,3
"BEVERLEY",0,0,0,0,2,0,"5009",0,0,0,166,0,0,1,0,0,0,500902,0,0,0,0,0,3,0,0,0,0,"May 2020",10,1,2,0,1
"SOMERTON PARK",0,1,1,0,1,0,"5044",0,0,0,1663,0,0,0,0,1,0,504402,0,0,0,0,0,0,1,0,0,0,"May 2020",10,0,4,0,1
"GLENELG",0,0,0,0,1,0,"5045",0,0,1,1675,0,1,1,0,4,0,504501,0,0,0,0,0,1,1,0,0,0,"May 2020",26,1,10,0,5
"GLENELG EAST",0,0,0,0,0,0,"5045",0,0,0,1687,0,0,1,0,3,0,504502,0,2,0,0,0,0,0,0,0,0,"May 2020",7,0,1,0,0
"GLENELG NORTH",0,0,0,0,2,0,"5045",0,1,0,1699,0,0,1,1,0,0,504503,0,4,0,0,0,1,3,0,0,0,"May 2020",20,0,4,0,3
"SOUTH BRIGHTON",0,0,0,0,0,0,"5048",0,0,0,1712,0,1,1,0,0,0,504805,0,4,0,0,0,0,1,0,0,0,"May 2020",9,0,1,0,1
"KINGSTON PARK",0,0,0,0,1,0,"5049",0,0,0,1721,0,0,0,0,0,0,504901,0,0,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,1
"MARINO",0,0,0,0,0,0,"5049",0,1,0,1732,0,0,0,0,0,0,504902,0,0,0,0,1,0,1,0,0,0,"May 2020",4,0,0,0,1
"SEACLIFF",0,0,0,0,2,0,"5049",0,0,0,1744,0,0,0,0,0,0,504903,0,0,0,0,0,0,0,0,0,0,"May 2020",5,0,1,0,2
"SEACLIFF PARK",0,0,0,0,0,0,"5049",0,0,0,1756,0,0,1,0,0,0,504904,0,0,0,0,0,0,0,0,0,0,"May 2020",2,0,0,0,1
